Event Name in iView,Type of Crime,# Event Tracks ,# GC Passed/Observed,Lat/Long,Lat,Long,Notes
600 Cumberland St.,Homicide & Attempted Murder,0,5,"39.30946319885173, -76.64177441574523",39.3094632,-76.64177442,was n/a
2443 Preston St.,Homicide & Attempted Murder,0,3,"39.3061486839674, -76.58290766358616",39.30614868,-76.58290766,was n/a
5200 Cuthbert Ave,Homicide & Attempted Murder,0,0,"39.34670953254379, -76.68072791574419",39.34670953,-76.68072792,
2600 E. Preston ,Armed Robbery,0,1,"39.30621080632234, -76.58084898691007",39.30621081,-76.58084899,
3600 Ednor Road,Armed Robbery,0,0,"39.33223835690744, -76.5994947310858",39.33223836,-76.59949473,
5911 Radecke Ave,Armed Robbery,1,0,"39.32960305646539, -76.53213394457995",39.32960306,-76.53213394,
5101 Sinclaire Lane,Armed Robbery,0,0,"39.31779952217466, -76.55524295698243",39.31779952,-76.55524296,
611 S. Charles St.,Armed Robbery,0,0,"39.281754938981486, -76.61428618691076",39.28175494,-76.61428619,
1826 Eagle St.,Homicide & Attempted Murder,22,7,"39.281303239677705, -76.64541281004507",39.28130324,-76.64541281,
1700 N. Gay St.,Armed Robbery,0,0,"39.3101284976678, -76.58734684458054",39.3101285,-76.58734684,
2400 Woodbrook,Armed Robbery,0,4,"39.31048910173467, -76.6413033310865",39.3104891,-76.64130333,
2100 Rockrose,Armed Robbery,0,0,"39.33400055194752, -76.64944510225047",39.33400055,-76.6494451,
5500 Park Heights Ave,Armed Robbery,0,0,"39.35183052715491, -76.68366058690866",39.35183053,-76.68366059,was n/a
1900 Belair Road,Armed Robbery,0,3,"39.3130936993518, -76.58424837156859",39.3130937,-76.58424837,
37 S. Charles St.,Armed Robbery,0,6,"39.2880847253942, -76.61479708691058",39.28808473,-76.61479709,
1100 Light Street,Armed Robbery,1,0,"39.27668725197434, -76.61262204458157",39.27668725,-76.61262204,
1400 Mosher st.,Shooting w/ Injury,12,3,"39.30039622210675, -76.6403515310868",39.30039622,-76.64035153,
300  N. Calhoun St.,Shooting w/ Injury,0,0,"39.29240101261869, -76.64002858875767",39.29240101,-76.64002859,
600 E. 25th St,Carjacking,0,1,"39.31852448184547, -76.60645690040378",39.31852448,-76.6064569,
2600 E. Monument St.,Armed Robbery,0,0,"39.29921311960338, -76.58064862923963",39.29921312,-76.58064863,
2100 Booth St.,Armed Robbery,0,0,"39.287671364816035, -76.65007670225185",39.28767136,-76.6500767,
3036 Stafford St.,Armed Robbery,0,0,"39.27944145711726, -76.667720988758",39.27944146,-76.66772099,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
500 E. 33rd St.,Armed Robbery,n/a,n/a,n/a time unverified,n/a time unverified,,
200 N. Chester St,Armed Robbery,n/a,n/a,Investigation Not Initiated,Investigation Not Initiated,,
